engine|voice|phrase|language|wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|48 According to estimates from the Brazilian Institute of Geography and Statistics (IBGE), Victoria has approximately 370,000 inhabitants.|en|49.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Vitoria is located in Brazil. According to estimates from the Brazilian Institute of Geography and Statistics (IBGE) in 2021, Victoria has approximately 370,000 inhabitants.|en|50.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Sure, Id be happy to help! In the context of simple and self-explanatory rules being interesting to watch, I think it would be fascinating to see how robots can interact with humans in a way that is both.|en|51.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|1. Roomba by iRobot: Roomba is a popular robot for cleaning homes, especially with the rise of smart home technology. It can be controlled and scheduled through an app on a users phone or tablet, making it.|en|52.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|A service robot is a type of robot that performs useful tasks for humans or equipment excluding the traditional industrial robots. Unlike traditional industrial robots, service robots are designed to interact with people in various settings such as homes, hospitals.|en|53.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The Festa das Paneleiras is a popular festival in Victoria that celebrates the tradition of panel makers. It features concerts, performances by Congo bands, traditional foods, and the sale of handmade panels. The festival has.|en|54.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|You can buy various handcrafted items in Victoria, including weaving, ceramics, and fibers. Additionally, you may be able to purchase Congo bands, traditional foods, and other handcrafted goods.|en|55.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The base that surrounds Victoria is the Atlantic Ocean.|en|56.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|7 bridges connect Vitória Island to the mainland.|en|57.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"1. Personal and professional use are the two main categories of service robots according to their intended application.
        2. Service robots can be categorized into personal or professional use based on how they will be utilized in society."|en|58.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Joseph F. Engelberger is considered the father of the robot arm, and his invasion was called Unimate.|en|59.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Domestic robots typically operate in residential environments, such as homes and apartments. These robots are designed to perform a variety of tasks that humans regularly perform in non-industrial settings, including cleaning, cooking, and providing assistance.|en|60.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Victorias geographic boundaries are: Serra (to the north), Vila Velha (to the south), the Atlantic Ocean (to the east), and Cariacica (to the west).|en|61.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|In Spiritus Sultan, the craftsmanship that is important includes the creation of clay pots. The artisans in this region are skilled at creating intricate and beautiful designs on these pots using traditional techniques passed down through gener.|en|62.wav
